anio_test,n_anios_train,n_train,n_test,accuracy,f1_macro,f1_weighted,f1_satisfecho,pr_auc,tiempo_entrenamiento_seg,variante
2013,5,5695,1161,0.6873,0.6561,0.6794,0.7598,0.7588,0.16,solo_latinobarometro
2015,6,6856,1174,0.7376,0.7266,0.7372,0.7816,0.7985,0.1,solo_latinobarometro
2016,7,8030,1174,0.667,0.6482,0.6612,0.567,0.6418,0.09,solo_latinobarometro
2017,8,9204,1183,0.6399,0.6363,0.6352,0.6004,0.7078,0.12,solo_latinobarometro
2018,9,10387,1166,0.6415,0.6037,0.6367,0.4814,0.5356,0.12,solo_latinobarometro
2020,10,11553,1164,0.8548,0.606,0.8556,0.2929,0.2395,0.14,solo_latinobarometro
2023,11,12717,1186,0.8415,0.6372,0.8442,0.3649,0.372,0.16,solo_latinobarometro
2024,12,13903,1196,0.7818,0.6385,0.7793,0.4108,0.4269,0.17,solo_latinobarometro
