anio_test,n_anios_train,n_train,n_test,accuracy,f1_macro,f1_weighted,f1_satisfecho,pr_auc,tiempo_entrenamiento_seg,variante
2013,5,5695,1161,0.6761,0.6493,0.6711,0.7463,0.752,7.79,latinobarometro_vdem
2015,6,6856,1174,0.747,0.7347,0.7457,0.7919,0.8023,9.68,latinobarometro_vdem
2016,7,8030,1174,0.6797,0.6683,0.6782,0.6067,0.6548,7.65,latinobarometro_vdem
2017,8,9204,1183,0.5993,0.5455,0.5507,0.7019,0.7141,10.0,latinobarometro_vdem
2018,9,10387,1166,0.6235,0.5999,0.6261,0.5028,0.5293,3.65,latinobarometro_vdem
2020,10,11553,1164,0.6581,0.5189,0.7252,0.2602,0.2455,3.6,latinobarometro_vdem
2023,11,12717,1186,0.7875,0.6285,0.8133,0.3854,0.3388,12.42,latinobarometro_vdem
2024,12,13903,1196,0.3863,0.3854,0.4,0.3617,0.4027,5.05,latinobarometro_vdem
