anio_test,n_anios_train,n_train,n_test,accuracy,f1_macro,f1_weighted,f1_satisfecho,pr_auc,tiempo_entrenamiento_seg
2013,5,5695,1161,0.6417,0.6373,0.6463,0.677,0.7474,32.5
2015,6,6856,1174,0.6601,0.6601,0.6592,0.6557,0.8011,34.76
2016,7,8030,1174,0.6252,0.6247,0.6226,0.6382,0.6419,39.8
2017,8,9204,1183,0.5807,0.5392,0.5347,0.401,0.692,54.72
2018,9,10387,1166,0.6732,0.6,0.6461,0.4288,0.5523,71.61
2020,10,11553,1164,0.8351,0.6127,0.8467,0.3191,0.2577,67.95
2023,11,12717,1186,0.8803,0.4682,0.8242,0.0,0.3419,65.19
2024,12,13903,1196,0.8102,0.4724,0.7336,0.0502,0.3573,64.85
