feature,importancia_media_abs_shap
econ_situation_cat,0.47720107
democ_supp_cat,0.35776708
confidence_congress_alta,0.18254066
confidence_army_alta,0.10452482
confidence_judiciary_alta,0.086573936
confidence_political_parties_alta,0.08433311
resp_economic_perception_cat,0.081462555
job_concern,0.08105161
confidence_police_alta,0.061539326
tasa_participacion_global,0.0591994
ideologia_cat,0.051937617
resp_education,0.04712406
v2x_polyarchy,0.03823292
resp_religion,0.03618483
resp_sex,0.032433946
