anio_test,n_anios_train,n_train,n_test,accuracy,f1_macro,f1_weighted,f1_satisfecho,pr_auc,tiempo_entrenamiento_seg
2013,5,5695,1161,0.6727,0.6558,0.673,0.732,0.7421,0.2
2015,6,6856,1174,0.7095,0.7043,0.7119,0.7438,0.7854,0.17
2016,7,8030,1174,0.6763,0.6599,0.6719,0.5852,0.6314,0.16
2017,8,9204,1183,0.6213,0.6163,0.6149,0.5725,0.6934,0.18
2018,9,10387,1166,0.6235,0.5926,0.6228,0.4805,0.533,0.19
2020,10,11553,1164,0.8462,0.5796,0.8465,0.2447,0.2339,0.21
2023,11,12717,1186,0.8895,0.6042,0.8598,0.2682,0.3678,0.29
2024,12,13903,1196,0.8227,0.5739,0.7754,0.2482,0.4167,0.33
