feature,importancia_media_abs_shap
confidence_police_alta,0.17044254404492673
democ_supp_cat,0.13837346017537172
econ_situation_cat,0.12038478127855465
goods_hot_water_bin,0.0865404550694637
v2xlg_legcon,0.013793708847553005
v2pepwrgeo,0.0104302142634775
confidence_congress_alta,0.008294207375830509
resp_religion,0.006998772094621789
confidence_judiciary_alta,0.006305381906606261
ideologia_cat,0.0061397955593226715
v2x_libdem,0.005606479890358142
v2xeg_eqdr,0.00560574794738829
confidence_political_parties_alta,0.005009753337566254
v2pepwrgen,0.004994149673540242
confidence_church_alta,0.004720242886598982
