feature,importancia_media_abs_shap
confidence_judiciary_alta,0.37402271141623167
econ_situation_cat,0.18320312100955408
v2pepwrsoc,0.08257686117864572
v2pepwrgeo,0.06080881703456495
democ_supp_cat,0.0313508833977939
v2xel_frefair,0.030462774247550648
resp_religion,0.025250661461699252
confidence_congress_alta,0.01732269861526481
tasa_desempleo,0.011849380982515253
v2xcl_rol,0.011253171793231575
v2x_partipdem,0.009728776369265519
confidence_police_alta,0.007757295105859576
confidence_army_alta,0.0066174204347705014
goods_car_bin,0.006484775737037505
confidence_political_parties_alta,0.006451669705117533
