anio_test,n_anios_train,n_train,n_test,accuracy,f1_macro,f1_weighted,f1_satisfecho,pr_auc,tiempo_entrenamiento_seg,variante
2013,5,5695,1161,0.6813,0.6549,0.6764,0.7503,0.7559,0.1,latinobarometro_enemdu
2015,6,6856,1174,0.7266,0.7191,0.7279,0.7648,0.8025,0.11,latinobarometro_enemdu
2016,7,8030,1174,0.6738,0.6405,0.658,0.5312,0.6408,0.11,latinobarometro_enemdu
2017,8,9204,1183,0.6247,0.6213,0.6202,0.5858,0.6917,0.13,latinobarometro_enemdu
2018,9,10387,1166,0.6209,0.6004,0.6248,0.51,0.54,0.18,latinobarometro_enemdu
2020,10,11553,1164,0.8574,0.6086,0.8574,0.2966,0.2455,0.18,latinobarometro_enemdu
2023,11,12717,1186,0.8845,0.6243,0.8621,0.3116,0.3972,0.2,latinobarometro_enemdu
2024,12,13903,1196,0.8236,0.5798,0.7778,0.2596,0.4344,0.24,latinobarometro_enemdu
