feature,importancia_media_abs_shap
v2pepwrsoc,0.08389472412289442
v2xeg_eqprotec,0.07657492681901872
econ_situation_cat,0.06922178248375298
v2xel_frefair,0.05251489218694456
v2pepwrgeo,0.05184289041311803
democ_supp_cat,0.04864278065282963
v2xcl_rol,0.035291531299733093
tasa_desempleo,0.026285269956424998
confidence_congress_alta,0.023682104017938396
confidence_judiciary_alta,0.02009422489484093
resp_religion,0.016821882341220507
v2x_egaldem,0.014969336535555336
confidence_army_alta,0.010612702359124591
tasa_participacion_global,0.009197035070590531
confidence_police_alta,0.008237321090720047
