anio_test,n_anios_train,n_train,n_test,accuracy,f1_macro,f1_weighted,f1_satisfecho,pr_auc,tiempo_entrenamiento_seg
2013,5,5695,1161,0.677,0.6643,0.679,0.7296,0.7546,1.38
2015,6,6856,1174,0.7317,0.7226,0.7322,0.7729,0.8186,0.89
2016,7,8030,1174,0.6661,0.651,0.6626,0.5785,0.6505,1.57
2017,8,9204,1183,0.5976,0.5698,0.5662,0.4603,0.7,1.92
2018,9,10387,1166,0.6492,0.5961,0.6355,0.4495,0.5494,1.39
2020,10,11553,1164,0.854,0.6136,0.8566,0.3089,0.2435,2.13
2023,11,12717,1186,0.8803,0.4682,0.8242,0.0,0.3578,1.73
2024,12,13903,1196,0.8119,0.477,0.7359,0.0586,0.4247,1.47
