feature,importancia_media_abs_shap
econ_situation_cat,0.07609271367629396
v2xeg_eqdr,0.0597474613159696
v2pepwrsoc,0.04943278250257073
democ_supp_cat,0.04635970293145268
v2xcl_rol,0.03345361230941933
confidence_congress_alta,0.03145104398217489
resp_economic_perception_cat,0.025329944399003684
v2xlg_legcon,0.019206926114688803
resp_religion,0.018694053932740647
v2pepwrses,0.017648138420080752
confidence_judiciary_alta,0.017577519289635427
tasa_participacion_global,0.01641849721171769
v2pepwrgeo,0.0082682171073321
tasa_desempleo,0.008129801269120657
resp_education,0.008013787939733855
