feature,importancia_media_abs_shap
democ_supp_cat,0.1551423469280519
confidence_political_parties_alta,0.11993301051047725
resp_economic_perception_cat,0.07252788128100514
econ_situation_cat,0.053525992402055064
confidence_congress_alta,0.044353925675904154
confidence_police_alta,0.044179757385511345
ingreso_promedio_laboral,0.04149301840047316
v2pepwrgeo,0.025746732593731593
resp_education,0.022818202501819294
resp_age,0.01758358069036526
ideologia_cat,0.015690551914703536
resp_religion,0.015342093338225555
resp_sex,0.015124920871676079
resp_employment,0.012828428369085149
confidence_army_alta,0.012532230329096549
