feature,importancia_media_abs_shap
econ_situation_cat,0.6347324154815353
empleo_formal,0.4946708785004657
democ_supp_cat,0.3279825688842674
v2xeg_eqprotec,0.2980444366677457
confidence_congress_alta,0.19439393023132975
confidence_judiciary_alta,0.1361781946254548
confidence_political_parties_alta,0.12843247663756532
resp_economic_perception_cat,0.08457278241165767
resp_age,0.07762494463170791
resp_education,0.07507438195051519
confidence_police_alta,0.07437201957403537
confidence_army_alta,0.07206733044832822
v2x_polyarchy,0.06721194659318194
job_concern,0.06640073383725695
resp_religion,0.04890128961717039
