feature,importancia_media_abs_shap
v2xeg_eqdr,0.08084586513648957
v2pepwrsoc,0.05353601914840387
v2xel_frefair,0.04828687834560597
econ_situation_cat,0.04304636075195364
v2xcl_rol,0.0329493721742676
democ_supp_cat,0.028271348299704437
confidence_congress_alta,0.021462187796248096
v2x_egaldem,0.014655529561679313
ingreso_promedio_laboral,0.011511542174961061
v2xeg_eqaccess,0.010598971667022384
confidence_political_parties_alta,0.00982019738484168
confidence_police_alta,0.008766688919508861
v2xeg_eqprotec,0.007507047718672011
tasa_desempleo,0.006971204683496114
confidence_judiciary_alta,0.006639417563352683
