anio_test,n_anios_train,n_train,n_test,accuracy,f1_macro,f1_weighted,f1_satisfecho,pr_auc,tiempo_entrenamiento_seg
2013,5,5695,1161,0.3876,0.2793,0.2165,0.0,0.6124,0.0
2015,6,6856,1174,0.4037,0.2876,0.2323,0.0,0.5963,0.0
2016,7,8030,1174,0.5801,0.3671,0.4259,0.0,0.4199,0.0
2017,8,9204,1183,0.4835,0.3259,0.3152,0.0,0.5165,0.0
2018,9,10387,1166,0.6346,0.3882,0.4928,0.0,0.3654,0.0
2020,10,11553,1164,0.8986,0.4733,0.8506,0.0,0.1014,0.0
2023,11,12717,1186,0.8803,0.4682,0.8242,0.0,0.1197,0.0
2024,12,13903,1196,0.8094,0.4473,0.7241,0.0,0.1906,0.0
