feature,importancia_media_abs_shap
democ_supp_cat,0.14576132368001044
econ_situation_cat,0.06781254131588499
confidence_congress_alta,0.05518657104484176
ingreso_promedio_laboral,0.04804625324085292
ideologia_cat,0.03302219177319062
v2pepwrort,0.0293078788694992
confidence_political_parties_alta,0.02826784407585436
gini_ingpc,0.02702991928116471
confidence_army_alta,0.024803447306019608
tasa_participacion_global,0.020597151286567767
confidence_judiciary_alta,0.01955634953820417
confidence_police_alta,0.018351193280156664
empleo_informal,0.017969344458128318
v2xlg_legcon,0.014376730914682919
v2x_polyarchy,0.013918649121373056
