anio,tasa_participacion_global,tasa_desempleo,empleo_formal,empleo_informal,ingreso_promedio_pc,ingreso_promedio_laboral,gini_ingpc,pobreza_ingresos,pobreza_extrema_ingresos,n_personas_muestra
2007,69.35285651966001,6.341014249106349,49.21625219967705,40.13726744196147,164.06398100637227,12968.917287605025,0.5309444786885009,31.045293428830483,12.983930984836595,129876
2008,67.94894391993591,6.143136239884134,48.025829634431226,40.97892771992252,159.2878682057877,11413.616121393588,0.5122260700889409,35.030992822694024,15.592375394729972,169111
2009,66.36029621547341,7.976810759610129,53.355707919702894,36.472833904161746,171.97232601780303,20767.445840467182,0.4985380664126434,30.367704385659273,11.942916840383578,157465
2010,64.42158764259301,6.70996268089685,51.057031630750416,38.74914685151865,174.39013148953754,15824.317140817993,0.50020811169462,32.88631719851673,13.935550429326897,212548
2011,62.48609350612061,5.294552432170632,52.002765838706345,38.18088215380262,188.5151424332479,12071.66786247315,0.4803620608257124,29.09246637108352,11.984365633599522,199661
2012,63.02368185938412,4.381169218285805,53.75669486279321,37.090232654736205,205.34530657601277,20641.77214209639,0.4627053862165179,26.329585459971526,10.29240293772992,191565
2013,62.52657064072601,4.254391422488395,53.678235843064556,37.727491828714314,219.60513447467056,15574.697610782396,0.4701265936414618,24.656407485789085,8.563191388049944,206857
2014,63.15331969608182,4.296213552496763,50.41961353532819,40.42737909448117,215.79766001618313,3490.7187233558307,0.47955763525559025,23.507619776518474,7.844419641775074,349826
2015,66.1570740648327,4.3423522816571944,50.574323215222215,40.589731750127775,223.89182168364482,6671.074935314765,0.4689247969408933,22.643948181668964,7.904845410646298,346519
2016,68.21568447073851,5.361389621706833,48.22618855135919,43.5545240608018,223.7417410509868,4074.888606385775,0.47029943758538373,23.30717139132644,8.62692332649483,289388
2017,68.56436981234867,4.412023055741836,47.80134639295489,45.279787295401455,230.1217893994959,3581.413350786185,0.4685890112259453,22.27203213786116,8.148856344480246,285742
2018,67.03787461591028,4.072742198082271,46.83473207971387,46.19337187871451,232.18669511065693,6055.177265644672,0.4767594716144109,23.858566978270492,8.697125748980216,238392
2019,66.61573464504194,4.442604551065013,45.69420551444646,46.60093390330035,225.20753303930894,8183.169980489808,0.4777093996442633,25.25639095715028,9.195567537880512,239863
2020,64.76660835186077,5.614622803340786,41.52698948160298,52.25412832357248,179.59708459187746,11691.37175105099,0.48676577248596853,33.043473716556214,15.442374442508628,122750
2021,66.10493718959827,5.07167369289777,41.60801294002445,50.98579696025748,204.56633029589617,10613.563939345575,0.4930102927992426,29.925167951356247,12.588864014941924,331461
2022,66.19915778898103,4.1641590187804045,42.87589213797735,52.09256581012612,219.01614116093052,4082.8621279504277,0.4748939593094881,25.12810395460337,9.492074895451148,358096
2023,65.04799601073282,3.6316236057929747,42.05265859393397,54.293849159224294,222.1879975057062,3527.7809058912003,0.47059424498791147,26.522201425916045,10.282415544735287,345174
2024,64.7525609616236,3.6123528799412945,41.679027699024324,54.74623675278458,224.8738278155285,2288.7878210588574,0.4715425857687582,26.73251092230383,11.652462694045678,341394
